finalTimestamp,sentFromPipelineTimestamp,receivedTimestamp,percentage
1743013488433,1743009345989,1743013488402.0,81
1743013489441,1743009346995,1743013489397.0,80
1743013490490,1743009348033,1743013490423.0,79
1743013491483,1743009349034,1743013491433.0,78
1743013492469,1743009350020,1743013492427.0,77
1743013493497,1743009351048,1743013493453.0,76
1743013494451,1743009352010,1743013494424.0,75
1743013495492,1743009353043,1743013495456.0,74
1743013496488,1743009354046,1743013496459.0,73
1743013497521,1743009355074,1743013497477.0,72
1743013498525,1743009356077,1743013498482.0,71
1743013499512,1743009357055,1743013499463.0,70
1743013500520,1743009358071,1743013500482.0,69
1743013501532,1743009359074,1743013501473.0,68
1743013502519,1743009360072,1743013502483.0,67
1743013503520,1743009361074,1743013503486.0,66
1743013504508,1743009362065,1743013504479.0,65
1743013505546,1743009363096,1743013505510.0,64
1743013506577,1743009364126,1743013506539.0,63
1743013507577,1743009365131,1743013507541.0,62
1743013508614,1743009366165,1743013508571.0,61
1743013509579,1743009367137,1743013509551.0,60
1743013510608,1743009368161,1743013510570.0,59
1743013511614,1743009369172,1743013511583.0,58
1743013512620,1743009370172,1743013512576.0,57
1743013513623,1743009371179,1743013513590.0,56
1743013514616,1743009372168,1743013514582.0,55
1743013515629,1743009373181,1743013515593.0,54
1743013516689,1743009374247,1743013516626.0,53
1743013517660,1743009375216,1743013517629.0,52
1743013518689,1743009376233,1743013518633.0,51
1743013519705,1743009377240,1743013519621.0,50
1743013520674,1743009378232,1743013520647.0,49
1743013521666,1743009379211,1743013521624.0,48
1743013522710,1743009380261,1743013522669.0,47
1743013523708,1743009381265,1743013523672.0,46
1743013524712,1743009382257,1743013524672.0,45
1743013525719,1743009383229,1743013525638.0,44
1743013526703,1743009384218,1743013526629.0,43
1743013527727,1743009385240,1743013527647.0,42
1743013528754,1743009386261,1743013528661.0,41
1743013529726,1743009387243,1743013529655.0,40
1743013530753,1743009388262,1743013530672.0,39
1743013531758,1743009389266,1743013531676.0,38
1743013532744,1743009390259,1743013532672.0,37
1743013533779,1743009391289,1743013533700.0,36
1743013534776,1743009392294,1743013534707.0,35
1743013535794,1743009393308,1743013535720.0,34
1743013536790,1743009394306,1743013536719.0,33
1743013537810,1743009395315,1743013537728.0,32
1743013538820,1743009396331,1743013538741.0,31
1743013539821,1743009397337,1743013539746.0,30
1743013540841,1743009398351,1743013540751.0,29
1743013541845,1743009399354,1743013541758.0,28
1743013542850,1743009400359,1743013542764.0,27
1743013543841,1743009401350,1743013543760.0,26
1743013544858,1743009402376,1743013544787.0,25
1743013545861,1743009403364,1743013545771.0,24
1743013546877,1743009404389,1743013546796.0,23
1743013547853,1743009405371,1743013547782.0,22
1743013548885,1743009406395,1743013548805.0,21
1743013549885,1743009407401,1743013549814.0,20
1743013550902,1743009408411,1743013550822.0,19
1743013551901,1743009409417,1743013551821.0,20
1743013552926,1743009410437,1743013552847.0,21
1743013553926,1743009411436,1743013553847.0,22
1743013554923,1743009412438,1743013554852.0,23
1743013555947,1743009413454,1743013555866.0,24
